Date,CYBR
2022-11-29,150.88999938964844
2022-11-30,149.07000732421875
2022-12-01,158.25
2022-12-02,147.24000549316406
2022-12-05,140.08999633789062
2022-12-06,137.3800048828125
2022-12-07,135.9600067138672
2022-12-08,140.1699981689453
2022-12-09,135.8699951171875
2022-12-12,137.6699981689453
2022-12-13,140.92999267578125
2022-12-14,140.9499969482422
2022-12-15,133.27999877929688
2022-12-16,131.9499969482422
2022-12-19,127.62999725341797
2022-12-20,129.25
2022-12-21,127.68000030517578
2022-12-22,125.76000213623047
2022-12-23,124.3499984741211
2022-12-27,123.31999969482422
2022-12-28,124.02999877929688
2022-12-29,130.47999572753906
2022-12-30,129.64999389648438
2023-01-03,126.30999755859375
2023-01-04,129.27000427246094
2023-01-05,117.91000366210938
2023-01-06,116.87000274658203
