Date,GNTX
2022-08-18,29.34000015258789
2022-08-19,28.940000534057617
2022-08-22,27.799999237060547
2022-08-23,27.760000228881836
2022-08-24,27.950000762939453
2022-08-25,28.530000686645508
2022-08-26,27.6200008392334
2022-08-29,27.75
2022-08-30,27.3700008392334
2022-08-31,27.290000915527344
2022-09-01,27.049999237060547
2022-09-02,26.780000686645508
2022-09-06,26.479999542236328
2022-09-07,26.940000534057617
2022-09-08,26.899999618530273
2022-09-09,27.34000015258789
2022-09-12,27.790000915527344
2022-09-13,26.809999465942383
2022-09-14,26.829999923706055
2022-09-15,26.290000915527344
2022-09-16,26.18000030517578
2022-09-19,26.639999389648438
2022-09-20,26.010000228881836
2022-09-21,25.450000762939453
2022-09-22,25.1299991607666
2022-09-23,24.56999969482422
2022-09-26,24.700000762939453
2022-09-27,24.8700008392334
2022-09-28,25.190000534057617
2022-09-29,24.190000534057617
2022-09-30,23.84000015258789
2022-10-03,24.489999771118164
2022-10-04,25.260000228881836
2022-10-05,24.959999084472656
2022-10-06,24.93000030517578
2022-10-07,24.219999313354492
2022-10-10,24.149999618530273
2022-10-11,24.270000457763672
2022-10-12,23.979999542236328
2022-10-13,24.1299991607666
2022-10-14,23.799999237060547
2022-10-17,24.489999771118164
2022-10-18,24.760000228881836
2022-10-19,24.270000457763672
2022-10-20,23.860000610351562
2022-10-21,24.309999465942383
2022-10-24,24.719999313354492
2022-10-25,25.190000534057617
2022-10-26,25.1200008392334
2022-10-27,25.6299991607666
2022-10-28,26.280000686645508
2022-10-31,26.489999771118164
2022-11-01,26.549999237060547
2022-11-02,25.729999542236328
2022-11-03,25.899999618530273
2022-11-04,26.65999984741211
2022-11-07,26.860000610351562
2022-11-08,26.850000381469727
2022-11-09,26.75
2022-11-10,28.479999542236328
2022-11-11,29.280000686645508
2022-11-14,28.81999969482422
2022-11-15,29.010000228881836
2022-11-16,28.559999465942383
2022-11-17,28.510000228881836
2022-11-18,28.729999542236328
2022-11-21,28.559999465942383
2022-11-22,28.8799991607666
2022-11-23,28.6299991607666
