Date,NXST
2022-11-28,174.6300048828125
2022-11-29,187.61000061035156
2022-11-30,189.55999755859375
2022-12-01,184.1999969482422
2022-12-02,183.27999877929688
2022-12-05,181.3800048828125
2022-12-06,179.72000122070312
2022-12-07,181.8800048828125
2022-12-08,181.91000366210938
2022-12-09,181.97000122070312
2022-12-12,184.3000030517578
2022-12-13,180.16000366210938
2022-12-14,181.5399932861328
2022-12-15,174.58999633789062
2022-12-16,177.77999877929688
2022-12-19,169.99000549316406
2022-12-20,172.10000610351562
2022-12-21,175.8699951171875
2022-12-22,173.6699981689453
2022-12-23,175.9600067138672
2022-12-27,176.75
2022-12-28,173.3300018310547
2022-12-29,176.5399932861328
2022-12-30,175.02999877929688
2023-01-03,174.24000549316406
2023-01-04,179.02000427246094
2023-01-05,179.75999450683594
