Date,INSM
2022-11-25,18.40999984741211
2022-11-28,18.489999771118164
2022-11-29,18.110000610351562
2022-11-30,18.489999771118164
2022-12-01,19.1200008392334
2022-12-02,20.3700008392334
2022-12-05,19.889999389648438
2022-12-06,18.979999542236328
2022-12-07,18.93000030517578
2022-12-08,18.6299991607666
2022-12-09,18.459999084472656
2022-12-12,19.3700008392334
2022-12-13,20.0
2022-12-14,19.989999771118164
2022-12-15,19.459999084472656
2022-12-16,19.100000381469727
2022-12-19,18.309999465942383
2022-12-20,18.850000381469727
2022-12-21,19.889999389648438
2022-12-22,19.979999542236328
2022-12-23,19.350000381469727
2022-12-27,19.010000228881836
2022-12-28,18.899999618530273
2022-12-29,19.979999542236328
2022-12-30,19.979999542236328
2023-01-03,19.18000030517578
2023-01-04,19.850000381469727
