Date,WBA
2022-11-25,41.65999984741211
2022-11-28,40.810001373291016
2022-11-29,41.08000183105469
2022-11-30,41.5
2022-12-01,41.310001373291016
2022-12-02,41.47999954223633
2022-12-05,41.209999084472656
2022-12-06,40.59000015258789
2022-12-07,40.650001525878906
2022-12-08,40.900001525878906
2022-12-09,40.43000030517578
2022-12-12,41.060001373291016
2022-12-13,41.029998779296875
2022-12-14,40.630001068115234
2022-12-15,39.529998779296875
2022-12-16,39.04999923706055
2022-12-19,39.31999969482422
2022-12-20,39.529998779296875
2022-12-21,38.599998474121094
2022-12-22,38.439998626708984
2022-12-23,38.630001068115234
2022-12-27,38.310001373291016
2022-12-28,37.58000183105469
2022-12-29,37.470001220703125
2022-12-30,37.36000061035156
2023-01-03,37.189998626708984
2023-01-04,37.4900016784668
