Date,CDNS
2022-11-25,167.30999755859375
2022-11-28,164.9499969482422
2022-11-29,163.52000427246094
2022-11-30,172.0399932861328
2022-12-01,176.77999877929688
2022-12-02,172.42999267578125
2022-12-05,166.4600067138672
2022-12-06,163.66000366210938
2022-12-07,160.58999633789062
2022-12-08,164.05999755859375
2022-12-09,163.6699981689453
2022-12-12,166.08999633789062
2022-12-13,168.22999572753906
2022-12-14,165.47000122070312
2022-12-15,162.22999572753906
2022-12-16,163.1999969482422
2022-12-19,160.9499969482422
2022-12-20,162.36000061035156
2022-12-21,165.41000366210938
2022-12-22,161.75999450683594
2022-12-23,161.4499969482422
2022-12-27,160.0500030517578
2022-12-28,158.33999633789062
2022-12-29,161.92999267578125
2022-12-30,160.63999938964844
2023-01-03,159.63999938964844
