Date,SOFI
2022-11-25,4.599999904632568
2022-11-28,4.449999809265137
2022-11-29,4.559999942779541
2022-11-30,4.829999923706055
2022-12-01,4.739999771118164
2022-12-02,4.699999809265137
2022-12-05,4.53000020980835
2022-12-06,4.320000171661377
2022-12-07,4.300000190734863
2022-12-08,4.400000095367432
2022-12-09,4.340000152587891
2022-12-12,4.449999809265137
2022-12-13,4.429999828338623
2022-12-14,4.699999809265137
2022-12-15,4.630000114440918
2022-12-16,4.639999866485596
2022-12-19,4.429999828338623
2022-12-20,4.570000171661377
2022-12-21,4.639999866485596
2022-12-22,4.579999923706055
2022-12-23,4.610000133514404
2022-12-27,4.389999866485596
2022-12-28,4.369999885559082
2022-12-29,4.590000152587891
2022-12-30,4.610000133514404
2023-01-03,4.5
2023-01-04,4.769999980926514
