Date,RIOT
2022-11-25,4.429999828338623
2022-11-28,4.25
2022-11-29,4.239999771118164
2022-11-30,4.650000095367432
2022-12-01,4.579999923706055
2022-12-02,4.960000038146973
2022-12-05,4.659999847412109
2022-12-06,4.380000114440918
2022-12-07,4.21999979019165
2022-12-08,4.369999885559082
2022-12-09,4.190000057220459
2022-12-12,4.170000076293945
2022-12-13,4.070000171661377
2022-12-14,4.150000095367432
2022-12-15,4.019999980926514
2022-12-16,3.799999952316284
2022-12-19,3.819999933242798
2022-12-20,3.8299999237060547
2022-12-21,3.8299999237060547
2022-12-22,3.7799999713897705
2022-12-23,3.680000066757202
2022-12-27,3.4200000762939453
2022-12-28,3.2899999618530273
2022-12-29,3.4200000762939453
2022-12-30,3.390000104904175
2023-01-03,3.369999885559082
2023-01-04,3.880000114440918
