Date,ACIW
2022-11-29,20.3700008392334
2022-11-30,20.899999618530273
2022-12-01,21.579999923706055
2022-12-02,21.700000762939453
2022-12-05,21.15999984741211
2022-12-06,20.639999389648438
2022-12-07,20.559999465942383
2022-12-08,20.8799991607666
2022-12-09,20.739999771118164
2022-12-12,20.75
2022-12-13,20.780000686645508
2022-12-14,21.079999923706055
2022-12-15,20.219999313354492
2022-12-16,20.459999084472656
2022-12-19,20.6200008392334
2022-12-20,20.8799991607666
2022-12-21,21.3700008392334
2022-12-22,21.309999465942383
2022-12-23,21.969999313354492
2022-12-27,22.260000228881836
2022-12-28,22.09000015258789
2022-12-29,23.139999389648438
2022-12-30,23.0
2023-01-03,23.030000686645508
2023-01-04,26.110000610351562
2023-01-05,25.959999084472656
2023-01-06,27.280000686645508
