Date,CGNX
2022-11-25,48.939998626708984
2022-11-28,48.540000915527344
2022-11-29,47.75
2022-11-30,49.779998779296875
2022-12-01,50.599998474121094
2022-12-02,50.7599983215332
2022-12-05,49.849998474121094
2022-12-06,48.459999084472656
2022-12-07,48.130001068115234
2022-12-08,49.77000045776367
2022-12-09,48.33000183105469
2022-12-12,49.810001373291016
2022-12-13,51.29999923706055
2022-12-14,51.540000915527344
2022-12-15,49.369998931884766
2022-12-16,47.880001068115234
2022-12-19,46.779998779296875
2022-12-20,46.79999923706055
2022-12-21,47.9900016784668
2022-12-22,46.959999084472656
2022-12-23,47.439998626708984
2022-12-27,47.099998474121094
2022-12-28,46.150001525878906
2022-12-29,47.52000045776367
2022-12-30,47.11000061035156
2023-01-03,47.91999816894531
