Date,ROKU
2022-11-25,56.08000183105469
2022-11-28,53.90999984741211
2022-11-29,54.18000030517578
2022-11-30,59.369998931884766
2022-12-01,59.779998779296875
2022-12-02,60.72999954223633
2022-12-05,56.41999816894531
2022-12-06,51.20000076293945
2022-12-07,51.220001220703125
2022-12-08,50.90999984741211
2022-12-09,51.7400016784668
2022-12-12,51.540000915527344
2022-12-13,52.529998779296875
2022-12-14,50.5
2022-12-15,46.58000183105469
2022-12-16,45.849998474121094
2022-12-19,44.5
2022-12-20,43.0
2022-12-21,42.95000076293945
2022-12-22,42.36000061035156
2022-12-23,41.349998474121094
2022-12-27,39.22999954223633
2022-12-28,38.79999923706055
2022-12-29,40.560001373291016
2022-12-30,40.70000076293945
2023-01-03,40.560001373291016
2023-01-04,42.349998474121094
2023-01-05,42.7599983215332
