Date,ZS
2022-11-29,134.85000610351562
2022-11-30,133.4499969482422
2022-12-01,144.5
2022-12-02,128.99000549316406
2022-12-05,120.79000091552734
2022-12-06,115.97000122070312
2022-12-07,114.23999786376953
2022-12-08,119.52999877929688
2022-12-09,117.20999908447266
2022-12-12,121.23999786376953
2022-12-13,123.76000213623047
2022-12-14,123.13999938964844
2022-12-15,117.16999816894531
2022-12-16,114.20999908447266
2022-12-19,112.2699966430664
2022-12-20,113.54000091552734
2022-12-21,112.7699966430664
2022-12-22,109.36000061035156
2022-12-23,108.77999877929688
2022-12-27,107.56999969482422
2022-12-28,107.86000061035156
2022-12-29,111.87000274658203
2022-12-30,111.9000015258789
2023-01-03,110.19000244140625
2023-01-04,111.58999633789062
2023-01-05,104.38999938964844
2023-01-06,103.95999908447266
