Date,LOGI
2022-11-23,58.959999084472656
2022-11-25,59.08000183105469
2022-11-28,58.36000061035156
2022-11-29,58.25
2022-11-30,60.540000915527344
2022-12-01,61.88999938964844
2022-12-02,62.7400016784668
2022-12-05,61.31999969482422
2022-12-06,59.97999954223633
2022-12-07,59.56999969482422
2022-12-08,60.18000030517578
2022-12-09,60.09000015258789
2022-12-12,61.0099983215332
2022-12-13,62.779998779296875
2022-12-14,61.900001525878906
2022-12-15,60.849998474121094
2022-12-16,58.5099983215332
2022-12-19,58.4900016784668
2022-12-20,59.220001220703125
2022-12-21,61.779998779296875
2022-12-22,61.040000915527344
2022-12-23,61.630001068115234
2022-12-27,61.689998626708984
2022-12-28,60.900001525878906
2022-12-29,62.560001373291016
2022-12-30,62.25
2023-01-03,62.810001373291016
