Date,DOCU
2022-11-28,45.790000915527344
2022-11-29,44.560001373291016
2022-11-30,47.06999969482422
2022-12-01,48.290000915527344
2022-12-02,46.599998474121094
2022-12-05,42.439998626708984
2022-12-06,41.83000183105469
2022-12-07,42.08000183105469
2022-12-08,43.75
2022-12-09,49.15999984741211
2022-12-12,54.06999969482422
2022-12-13,58.029998779296875
2022-12-14,59.54999923706055
2022-12-15,56.310001373291016
2022-12-16,56.27000045776367
2022-12-19,54.220001220703125
2022-12-20,54.099998474121094
2022-12-21,56.58000183105469
2022-12-22,54.2400016784668
2022-12-23,53.900001525878906
2022-12-27,52.41999816894531
2022-12-28,52.77000045776367
2022-12-29,55.75
2022-12-30,55.41999816894531
2023-01-03,56.75
2023-01-04,56.27000045776367
2023-01-05,53.93000030517578
