Date,MNDY
2022-11-23,99.4800033569336
2022-11-25,97.83000183105469
2022-11-28,97.91000366210938
2022-11-29,98.43000030517578
2022-11-30,107.5
2022-12-01,106.80999755859375
2022-12-02,108.06999969482422
2022-12-05,100.95999908447266
2022-12-06,98.9800033569336
2022-12-07,102.51000213623047
2022-12-08,108.58999633789062
2022-12-09,109.82499694824219
2022-12-12,114.3499984741211
2022-12-13,122.45999908447266
2022-12-14,122.54000091552734
2022-12-15,118.94000244140625
2022-12-16,122.63999938964844
2022-12-19,118.0199966430664
2022-12-20,115.91000366210938
2022-12-21,118.76000213623047
2022-12-22,113.9000015258789
2022-12-23,113.48999786376953
2022-12-27,112.08999633789062
2022-12-28,112.70999908447266
2022-12-29,120.94000244140625
2022-12-30,122.0
2023-01-03,119.43000030517578
