Date,EXEL
2022-11-25,16.940000534057617
2022-11-28,16.790000915527344
2022-11-29,16.440000534057617
2022-11-30,17.079999923706055
2022-12-01,17.040000915527344
2022-12-02,17.389999389648438
2022-12-05,17.219999313354492
2022-12-06,16.670000076293945
2022-12-07,16.350000381469727
2022-12-08,16.520000457763672
2022-12-09,15.770000457763672
2022-12-12,16.079999923706055
2022-12-13,16.049999237060547
2022-12-14,16.190000534057617
2022-12-15,15.800000190734863
2022-12-16,15.9399995803833
2022-12-19,15.4399995803833
2022-12-20,15.6899995803833
2022-12-21,15.760000228881836
2022-12-22,15.890000343322754
2022-12-23,15.829999923706055
2022-12-27,15.479999542236328
2022-12-28,15.40999984741211
2022-12-29,15.65999984741211
2022-12-30,16.040000915527344
2023-01-03,16.299999237060547
2023-01-04,17.030000686645508
