Date,AZN
2022-11-25,66.16999816894531
2022-11-28,66.20999908447266
2022-11-29,66.08000183105469
2022-11-30,67.97000122070312
2022-12-01,68.33999633789062
2022-12-02,68.47000122070312
2022-12-05,68.41999816894531
2022-12-06,68.55999755859375
2022-12-07,68.8499984741211
2022-12-08,69.16999816894531
2022-12-09,69.55000305175781
2022-12-12,69.27999877929688
2022-12-13,69.58000183105469
2022-12-14,70.44000244140625
2022-12-15,69.73999786376953
2022-12-16,67.94000244140625
2022-12-19,67.47000122070312
2022-12-20,67.72000122070312
2022-12-21,67.9000015258789
2022-12-22,68.08000183105469
2022-12-23,67.9800033569336
2022-12-27,67.93000030517578
2022-12-28,67.55999755859375
2022-12-29,68.0999984741211
2022-12-30,67.80000305175781
2023-01-03,69.33000183105469
2023-01-04,69.5
