Date,MTSI
2022-11-25,68.44000244140625
2022-11-28,66.19999694824219
2022-11-29,65.6500015258789
2022-11-30,68.69000244140625
2022-12-01,68.3499984741211
2022-12-02,68.7699966430664
2022-12-05,67.63999938964844
2022-12-06,66.69000244140625
2022-12-07,67.12999725341797
2022-12-08,67.9800033569336
2022-12-09,68.75
2022-12-12,68.94000244140625
2022-12-13,70.0199966430664
2022-12-14,68.36000061035156
2022-12-15,65.68000030517578
2022-12-16,65.52999877929688
2022-12-19,63.689998626708984
2022-12-20,64.20999908447266
2022-12-21,65.94000244140625
2022-12-22,64.13999938964844
2022-12-23,63.27000045776367
2022-12-27,62.099998474121094
2022-12-28,60.75
2022-12-29,62.869998931884766
2022-12-30,62.97999954223633
2023-01-03,61.56999969482422
2023-01-04,62.33000183105469
