Date,EXE
2022-11-30,103.5
2022-12-01,102.18000030517578
2022-12-02,101.75
2022-12-05,95.81999969482422
2022-12-06,93.72000122070312
2022-12-07,95.87000274658203
2022-12-08,94.11000061035156
2022-12-09,94.72000122070312
2022-12-12,98.97000122070312
2022-12-13,99.94999694824219
2022-12-14,99.16000366210938
2022-12-15,98.91999816894531
2022-12-16,97.6500015258789
2022-12-19,95.94000244140625
2022-12-20,95.68000030517578
2022-12-21,98.5
2022-12-22,93.87999725341797
2022-12-23,97.37000274658203
2022-12-27,98.70999908447266
2022-12-28,93.62999725341797
2022-12-29,94.58000183105469
2022-12-30,94.37000274658203
2023-01-03,86.12999725341797
2023-01-04,89.27999877929688
2023-01-05,84.88999938964844
2023-01-06,87.79000091552734
2023-01-09,89.19000244140625
2023-01-10,88.37000274658203
