Date,CG
2022-11-23,29.6299991607666
2022-11-25,29.3799991607666
2022-11-28,29.329999923706055
2022-11-29,29.8799991607666
2022-11-30,31.170000076293945
2022-12-01,31.760000228881836
2022-12-02,31.559999465942383
2022-12-05,30.65999984741211
2022-12-06,30.149999618530273
2022-12-07,29.0
2022-12-08,29.1200008392334
2022-12-09,29.549999237060547
2022-12-12,30.209999084472656
2022-12-13,31.1200008392334
2022-12-14,30.31999969482422
2022-12-15,29.8799991607666
2022-12-16,29.489999771118164
2022-12-19,28.510000228881836
2022-12-20,28.639999389648438
2022-12-21,29.739999771118164
2022-12-22,29.510000228881836
2022-12-23,29.860000610351562
2022-12-27,29.5
2022-12-28,29.020000457763672
2022-12-29,30.229999542236328
2022-12-30,29.84000015258789
2023-01-03,29.989999771118164
