Date,ENSG
2022-11-29,93.2300033569336
2022-11-30,95.0
2022-12-01,94.3499984741211
2022-12-02,94.27999877929688
2022-12-05,91.69999694824219
2022-12-06,91.52999877929688
2022-12-07,92.0999984741211
2022-12-08,93.61000061035156
2022-12-09,90.87000274658203
2022-12-12,92.94000244140625
2022-12-13,93.18000030517578
2022-12-14,95.44000244140625
2022-12-15,95.12000274658203
2022-12-16,95.66999816894531
2022-12-19,95.25
2022-12-20,95.31999969482422
2022-12-21,96.79000091552734
2022-12-22,94.47000122070312
2022-12-23,95.04000091552734
2022-12-27,95.26000213623047
2022-12-28,93.41000366210938
2022-12-29,95.43000030517578
2022-12-30,94.61000061035156
2023-01-03,94.51000213623047
2023-01-04,95.87999725341797
2023-01-05,94.19000244140625
2023-01-06,96.08000183105469
