Date,RMBS
2022-11-25,37.29999923706055
2022-11-28,36.790000915527344
2022-11-29,37.130001068115234
2022-11-30,38.380001068115234
2022-12-01,38.70000076293945
2022-12-02,38.36000061035156
2022-12-05,37.880001068115234
2022-12-06,37.18000030517578
2022-12-07,37.22999954223633
2022-12-08,37.869998931884766
2022-12-09,37.400001525878906
2022-12-12,38.0099983215332
2022-12-13,38.2400016784668
2022-12-14,37.97999954223633
2022-12-15,37.290000915527344
2022-12-16,37.150001525878906
2022-12-19,36.279998779296875
2022-12-20,36.47999954223633
2022-12-21,37.0
2022-12-22,36.25
2022-12-23,35.9900016784668
2022-12-27,35.97999954223633
2022-12-28,35.349998474121094
2022-12-29,36.18000030517578
2022-12-30,35.81999969482422
2023-01-03,35.02000045776367
2023-01-04,35.810001373291016
2023-01-05,35.59000015258789
