Date,VLY
2022-11-25,12.600000381469727
2022-11-28,12.329999923706055
2022-11-29,12.420000076293945
2022-11-30,12.65999984741211
2022-12-01,12.59000015258789
2022-12-02,12.489999771118164
2022-12-05,11.600000381469727
2022-12-06,11.359999656677246
2022-12-07,11.579999923706055
2022-12-08,11.600000381469727
2022-12-09,11.6899995803833
2022-12-12,11.819999694824219
2022-12-13,11.640000343322754
2022-12-14,11.25
2022-12-15,11.210000038146973
2022-12-16,11.100000381469727
2022-12-19,11.180000305175781
2022-12-20,11.220000267028809
2022-12-21,11.470000267028809
2022-12-22,11.380000114440918
2022-12-23,11.479999542236328
2022-12-27,11.449999809265137
2022-12-28,11.229999542236328
2022-12-29,11.430000305175781
2022-12-30,11.3100004196167
2023-01-03,11.289999961853027
2023-01-04,11.260000228881836
