Date,SMMT
2022-11-11,1.0299999713897705
2022-11-14,1.0499999523162842
2022-11-15,1.090000033378601
2022-11-16,1.0399999618530273
2022-11-17,0.9909999966621399
2022-11-18,0.9789999723434448
2022-11-21,0.8880000114440918
2022-11-22,0.8999999761581421
2022-11-23,0.9100000262260437
2022-11-25,0.9229999780654907
2022-11-28,0.9399999976158142
2022-11-29,0.8899999856948853
2022-11-30,0.800000011920929
2022-12-01,0.6800000071525574
2022-12-02,0.7799999713897705
2022-12-05,0.7850000262260437
2022-12-06,2.309999942779541
2022-12-07,3.0799999237060547
2022-12-08,3.609999895095825
2022-12-09,3.9200000762939453
2022-12-12,2.819999933242798
2022-12-13,3.9100000858306885
2022-12-14,3.2699999809265137
2022-12-15,3.5799999237060547
2022-12-16,3.609999895095825
2022-12-19,4.329999923706055
