Date,KRYS
2022-11-28,76.51000213623047
2022-11-29,76.68000030517578
2022-11-30,77.73999786376953
2022-12-01,77.0
2022-12-02,77.5
2022-12-05,75.77999877929688
2022-12-06,76.30000305175781
2022-12-07,74.4000015258789
2022-12-08,74.4000015258789
2022-12-09,71.02999877929688
2022-12-12,71.75
2022-12-13,73.87999725341797
2022-12-14,77.6500015258789
2022-12-15,78.4000015258789
2022-12-16,79.83999633789062
2022-12-19,75.97000122070312
2022-12-20,75.3499984741211
2022-12-21,77.44999694824219
2022-12-22,78.38999938964844
2022-12-23,76.62999725341797
2022-12-27,75.9000015258789
2022-12-28,76.0
2022-12-29,79.9000015258789
2022-12-30,79.22000122070312
2023-01-03,79.2300033569336
2023-01-04,79.94000244140625
2023-01-05,82.73999786376953
