Date,AVAV
2022-11-23,90.29000091552734
2022-11-25,92.08000183105469
2022-11-28,92.41999816894531
2022-11-29,88.93000030517578
2022-11-30,91.98999786376953
2022-12-01,91.41000366210938
2022-12-02,92.68000030517578
2022-12-05,88.70999908447266
2022-12-06,85.11000061035156
2022-12-07,82.37000274658203
2022-12-08,82.19000244140625
2022-12-09,82.12999725341797
2022-12-12,87.70999908447266
2022-12-13,85.94999694824219
2022-12-14,88.08999633789062
2022-12-15,88.06999969482422
2022-12-16,81.86000061035156
2022-12-19,81.20999908447266
2022-12-20,82.63999938964844
2022-12-21,85.30000305175781
2022-12-22,83.37000274658203
2022-12-23,84.72000122070312
2022-12-27,82.66999816894531
2022-12-28,82.69999694824219
2022-12-29,85.41000366210938
2022-12-30,85.66000366210938
2023-01-03,83.83999633789062
