Date,RYAAY
2022-11-22,30.39215660095215
2022-11-23,30.368146896362305
2022-11-25,30.93637466430664
2022-11-28,30.580232620239258
2022-11-29,30.188074111938477
2022-11-30,30.288114547729492
2022-12-01,30.788314819335938
2022-12-02,31.156463623046875
2022-12-05,30.952381134033203
2022-12-06,30.440176010131836
2022-12-07,30.108043670654297
2022-12-08,30.420167922973633
2022-12-09,31.108442306518555
2022-12-12,31.560623168945312
2022-12-13,30.46418571472168
2022-12-14,31.100439071655273
2022-12-15,31.356542587280273
2022-12-16,30.964385986328125
2022-12-19,30.53621482849121
2022-12-20,31.024410247802734
2022-12-21,31.52060890197754
2022-12-22,30.65626335144043
2022-12-23,30.648258209228516
2022-12-27,30.40816307067871
2022-12-28,29.41176414489746
2022-12-29,30.084033966064453
