Date,IBOC
2022-11-28,51.84000015258789
2022-11-29,51.630001068115234
2022-11-30,52.68000030517578
2022-12-01,52.56999969482422
2022-12-02,52.5099983215332
2022-12-05,49.529998779296875
2022-12-06,49.349998474121094
2022-12-07,48.900001525878906
2022-12-08,48.59000015258789
2022-12-09,47.880001068115234
2022-12-12,47.66999816894531
2022-12-13,46.2599983215332
2022-12-14,45.459999084472656
2022-12-15,44.68000030517578
2022-12-16,44.20000076293945
2022-12-19,44.81999969482422
2022-12-20,45.20000076293945
2022-12-21,45.95000076293945
2022-12-22,45.599998474121094
2022-12-23,45.93000030517578
2022-12-27,45.95000076293945
2022-12-28,45.58000183105469
2022-12-29,46.13999938964844
2022-12-30,45.7599983215332
2023-01-03,45.150001525878906
2023-01-04,44.790000915527344
