Date,DRS
2022-11-25,9.869999885559082
2022-11-28,9.869999885559082
2022-11-29,10.989999771118164
2022-11-30,10.109999656677246
2022-12-01,9.640000343322754
2022-12-02,9.710000038146973
2022-12-05,10.779999732971191
2022-12-06,10.75
2022-12-07,10.779999732971191
2022-12-08,11.0
2022-12-09,11.229999542236328
2022-12-12,11.359999656677246
2022-12-13,11.699999809265137
2022-12-14,11.850000381469727
2022-12-15,11.90999984741211
2022-12-16,12.069999694824219
2022-12-19,11.960000038146973
2022-12-20,12.039999961853027
2022-12-21,12.300000190734863
2022-12-22,12.479999542236328
2022-12-23,13.149999618530273
2022-12-27,12.8100004196167
2022-12-28,12.579999923706055
2022-12-29,12.899999618530273
2022-12-30,12.779999732971191
2023-01-03,12.140000343322754
2023-01-04,12.220000267028809
