Date,MDLZ
2022-11-25,66.69000244140625
2022-11-28,66.1500015258789
2022-11-29,66.05000305175781
2022-11-30,67.61000061035156
2022-12-01,68.08999633789062
2022-12-02,68.30999755859375
2022-12-05,67.43000030517578
2022-12-06,67.29000091552734
2022-12-07,68.02999877929688
2022-12-08,67.58999633789062
2022-12-09,67.05999755859375
2022-12-12,67.37999725341797
2022-12-13,67.5999984741211
2022-12-14,67.26000213623047
2022-12-15,66.38999938964844
2022-12-16,66.16000366210938
2022-12-19,65.69999694824219
2022-12-20,65.8499984741211
2022-12-21,66.88999938964844
2022-12-22,66.7300033569336
2022-12-23,67.0999984741211
2022-12-27,67.48999786376953
2022-12-28,66.83000183105469
2022-12-29,66.97000122070312
2022-12-30,66.6500015258789
2023-01-03,66.25
2023-01-04,66.7300033569336
