Date,ARGX
2022-11-28,379.0
2022-11-29,377.7200012207031
2022-11-30,397.9700012207031
2022-12-01,399.2200012207031
2022-12-02,402.30999755859375
2022-12-05,393.260009765625
2022-12-06,385.5400085449219
2022-12-07,384.3699951171875
2022-12-08,389.5199890136719
2022-12-09,388.5
2022-12-12,394.8599853515625
2022-12-13,384.70001220703125
2022-12-14,386.4599914550781
2022-12-15,389.67999267578125
2022-12-16,385.80999755859375
2022-12-19,377.3299865722656
2022-12-20,381.1300048828125
2022-12-21,382.7200012207031
2022-12-22,383.239990234375
2022-12-23,377.3299865722656
2022-12-27,370.5799865722656
2022-12-28,369.4200134277344
2022-12-29,375.7900085449219
2022-12-30,378.8299865722656
2023-01-03,373.79998779296875
2023-01-04,376.4599914550781
2023-01-05,373.95001220703125
