Date,COOP
2022-11-28,44.18000030517578
2022-11-29,44.369998931884766
2022-11-30,45.15999984741211
2022-12-01,44.68000030517578
2022-12-02,44.58000183105469
2022-12-05,42.369998931884766
2022-12-06,43.25
2022-12-07,43.029998779296875
2022-12-08,43.27000045776367
2022-12-09,42.38999938964844
2022-12-12,42.0099983215332
2022-12-13,41.7400016784668
2022-12-14,42.150001525878906
2022-12-15,41.06999969482422
2022-12-16,40.75
2022-12-19,41.130001068115234
2022-12-20,40.41999816894531
2022-12-21,40.939998626708984
2022-12-22,40.310001373291016
2022-12-23,40.7400016784668
2022-12-27,40.599998474121094
2022-12-28,39.540000915527344
2022-12-29,40.310001373291016
2022-12-30,40.130001068115234
2023-01-03,40.36000061035156
2023-01-04,41.189998626708984
2023-01-05,41.90999984741211
