Date,IBKR
2022-11-23,78.16000366210938
2022-11-25,77.69000244140625
2022-11-28,78.51000213623047
2022-11-29,79.80000305175781
2022-11-30,80.30000305175781
2022-12-01,78.6500015258789
2022-12-02,78.70999908447266
2022-12-05,77.66000366210938
2022-12-06,78.72000122070312
2022-12-07,76.11000061035156
2022-12-08,76.29000091552734
2022-12-09,75.45999908447266
2022-12-12,74.19999694824219
2022-12-13,72.0199966430664
2022-12-14,71.2699966430664
2022-12-15,69.79000091552734
2022-12-16,69.48999786376953
2022-12-19,69.33999633789062
2022-12-20,70.86000061035156
2022-12-21,72.12999725341797
2022-12-22,71.80000305175781
2022-12-23,73.73999786376953
2022-12-27,73.05000305175781
2022-12-28,72.72000122070312
2022-12-29,72.94000244140625
2022-12-30,72.3499984741211
2023-01-03,71.37999725341797
