Date,BCPC
2022-11-25,141.94000244140625
2022-11-28,138.82000732421875
2022-11-29,137.7899932861328
2022-11-30,140.8000030517578
2022-12-01,140.89999389648438
2022-12-02,141.0800018310547
2022-12-05,131.27000427246094
2022-12-06,129.25999450683594
2022-12-07,133.36000061035156
2022-12-08,133.52999877929688
2022-12-09,131.57000732421875
2022-12-12,131.27000427246094
2022-12-13,131.77999877929688
2022-12-14,129.17999267578125
2022-12-15,122.69000244140625
2022-12-16,120.87999725341797
2022-12-19,122.5
2022-12-20,121.44000244140625
2022-12-21,122.45999908447266
2022-12-22,121.93000030517578
2022-12-23,121.80000305175781
2022-12-27,121.44000244140625
2022-12-28,120.16000366210938
2022-12-29,123.16000366210938
2022-12-30,122.11000061035156
2023-01-03,121.7699966430664
2023-01-04,120.12000274658203
