Date,COKE
2022-12-05,490.2799987792969
2022-12-06,473.9599914550781
2022-12-07,482.760009765625
2022-12-08,511.8699951171875
2022-12-09,541.4199829101562
2022-12-12,537.9600219726562
2022-12-13,518.0900268554688
2022-12-14,510.9800109863281
2022-12-15,494.1199951171875
2022-12-16,499.2099914550781
2022-12-19,498.3999938964844
2022-12-20,511.70001220703125
2022-12-21,521.1699829101562
2022-12-22,514.4099731445312
2022-12-23,522.8099975585938
2022-12-27,518.2899780273438
2022-12-28,509.04998779296875
2022-12-29,520.0399780273438
2022-12-30,512.3599853515625
2023-01-03,476.6600036621094
2023-01-04,486.0
2023-01-05,483.7699890136719
2023-01-06,500.0
2023-01-09,490.510009765625
2023-01-10,484.2099914550781
2023-01-11,496.010009765625
2023-01-12,489.1000061035156
