Date,LEGN
2022-12-02,50.91999816894531
2022-12-05,50.9900016784668
2022-12-06,53.959999084472656
2022-12-07,54.900001525878906
2022-12-08,55.459999084472656
2022-12-09,53.54999923706055
2022-12-12,52.04999923706055
2022-12-13,50.130001068115234
2022-12-14,51.880001068115234
2022-12-15,51.84000015258789
2022-12-16,50.95000076293945
2022-12-19,49.25
2022-12-20,50.459999084472656
2022-12-21,50.52000045776367
2022-12-22,50.36000061035156
2022-12-23,49.81999969482422
2022-12-27,48.689998626708984
2022-12-28,48.04999923706055
2022-12-29,49.689998626708984
2022-12-30,49.91999816894531
2023-01-03,48.70000076293945
2023-01-04,49.66999816894531
2023-01-05,48.099998474121094
2023-01-06,49.59000015258789
2023-01-09,46.599998474121094
2023-01-10,49.810001373291016
2023-01-11,51.959999084472656
