Date,TTWO
2022-11-25,102.62999725341797
2022-11-28,101.26000213623047
2022-11-29,101.3499984741211
2022-11-30,105.69000244140625
2022-12-01,106.4000015258789
2022-12-02,108.76000213623047
2022-12-05,106.9800033569336
2022-12-06,101.2699966430664
2022-12-07,99.48999786376953
2022-12-08,100.79000091552734
2022-12-09,102.05999755859375
2022-12-12,102.61000061035156
2022-12-13,104.55000305175781
2022-12-14,104.80999755859375
2022-12-15,101.66000366210938
2022-12-16,100.76000213623047
2022-12-19,98.58999633789062
2022-12-20,98.11000061035156
2022-12-21,99.87999725341797
2022-12-22,99.2699966430664
2022-12-23,99.83000183105469
2022-12-27,99.37999725341797
2022-12-28,99.69000244140625
2022-12-29,101.33999633789062
2022-12-30,104.12999725341797
2023-01-03,103.11000061035156
2023-01-04,106.7699966430664
