Date,HALO
2022-11-28,56.470001220703125
2022-11-29,57.04999923706055
2022-11-30,57.2599983215332
2022-12-01,57.400001525878906
2022-12-02,59.439998626708984
2022-12-05,55.939998626708984
2022-12-06,56.380001068115234
2022-12-07,57.7400016784668
2022-12-08,57.849998474121094
2022-12-09,56.93000030517578
2022-12-12,58.04999923706055
2022-12-13,58.939998626708984
2022-12-14,58.52000045776367
2022-12-15,57.029998779296875
2022-12-16,56.86000061035156
2022-12-19,56.20000076293945
2022-12-20,56.689998626708984
2022-12-21,58.349998474121094
2022-12-22,57.83000183105469
2022-12-23,57.4900016784668
2022-12-27,57.119998931884766
2022-12-28,56.7400016784668
2022-12-29,56.97999954223633
2022-12-30,56.900001525878906
2023-01-03,55.130001068115234
2023-01-04,53.900001525878906
2023-01-05,54.22999954223633
