Date,STEP
2022-11-25,30.56999969482422
2022-11-28,29.549999237060547
2022-11-29,29.360000610351562
2022-11-30,29.979999542236328
2022-12-01,30.290000915527344
2022-12-02,30.049999237060547
2022-12-05,28.959999084472656
2022-12-06,28.420000076293945
2022-12-07,28.34000015258789
2022-12-08,28.989999771118164
2022-12-09,28.940000534057617
2022-12-12,28.670000076293945
2022-12-13,28.700000762939453
2022-12-14,28.059999465942383
2022-12-15,27.459999084472656
2022-12-16,26.459999084472656
2022-12-19,25.959999084472656
2022-12-20,26.100000381469727
2022-12-21,26.709999084472656
2022-12-22,25.760000228881836
2022-12-23,25.850000381469727
2022-12-27,25.350000381469727
2022-12-28,25.010000228881836
2022-12-29,25.280000686645508
2022-12-30,25.18000030517578
2023-01-03,24.90999984741211
2023-01-04,25.780000686645508
