Date,BOKF
2022-11-25,104.08000183105469
2022-11-28,102.18000030517578
2022-11-29,103.29000091552734
2022-11-30,104.70999908447266
2022-12-01,103.88999938964844
2022-12-02,105.2699966430664
2022-12-05,102.20999908447266
2022-12-06,103.05999755859375
2022-12-07,102.25
2022-12-08,103.41999816894531
2022-12-09,103.80999755859375
2022-12-12,103.68000030517578
2022-12-13,101.31999969482422
2022-12-14,99.6500015258789
2022-12-15,99.01000213623047
2022-12-16,99.44000244140625
2022-12-19,100.30000305175781
2022-12-20,101.44000244140625
2022-12-21,103.19000244140625
2022-12-22,102.11000061035156
2022-12-23,102.86000061035156
2022-12-27,103.63999938964844
2022-12-28,102.25
2022-12-29,103.29000091552734
2022-12-30,103.79000091552734
2023-01-03,98.94000244140625
2023-01-04,99.45999908447266
2023-01-05,99.23999786376953
