Date,FELE
2022-11-28,82.22000122070312
2022-11-29,81.27999877929688
2022-11-30,83.30000305175781
2022-12-01,83.06999969482422
2022-12-02,83.54000091552734
2022-12-05,81.55999755859375
2022-12-06,79.97000122070312
2022-12-07,80.08000183105469
2022-12-08,80.33999633789062
2022-12-09,80.3499984741211
2022-12-12,81.66999816894531
2022-12-13,82.4000015258789
2022-12-14,81.6500015258789
2022-12-15,78.66000366210938
2022-12-16,79.43000030517578
2022-12-19,78.55999755859375
2022-12-20,78.83999633789062
2022-12-21,80.58000183105469
2022-12-22,78.9800033569336
2022-12-23,79.98999786376953
2022-12-27,79.9800033569336
2022-12-28,78.80000305175781
2022-12-29,80.37999725341797
2022-12-30,79.75
2023-01-03,79.80999755859375
2023-01-04,79.47000122070312
2023-01-05,78.44999694824219
