Row,sp500,nasdaq,nyse,penny,mutual fund,large cap stocks,mid cap stocks,small cap stocks,micro cap stocks,australian ase
761,,,,,,ESTC,,,,
762,,,,,,AIZ,,,,
763,,,,,,FUTU,,,,
764,,,,,,BEN,,,,
765,,,,,,PCTY,,,,
766,,,,,,VFS,,,,
767,,,,,,AAL,,,,
768,,,,,,TTEK,,,,
769,,,,,,ATR,,,,
770,,,,,,CART,,,,
771,,,,,,GMED,,,,
772,,,,,,COKE,,,,
773,,,,,,RRX,,,,
774,,,,,,TLN,,,,
775,,,,,,YMM,,,,
776,,,,,,CTLT,,,,
777,,,,,,ESLT,,,,
778,,,,,,U,,,,
779,,,,,,AAON,,,,
780,,,,,,BEPC,,,,
781,,,,,,NLY,,,,
782,,,,,,ACI,,,,
783,,,,,,MTZ,,,,
784,,,,,,LW,,,,
785,,,,,,CLS,,,,
786,,,,,,CFLT,,,,
787,,,,,,BLD,,,,
788,,,,,,ARMK,,,,
789,,,,,,AA,,,,
790,,,,,,FHN,,,,
791,,,,,,PAG,,,,
792,,,,,,MUSA,,,,
793,,,,,,MGM,,,,
794,,,,,,IPG,,,,
795,,,,,,OHI,,,,
796,,,,,,SNN,,,,
797,,,,,,GTLB,,,,
798,,,,,,SQM,,,,
799,,,,,,MEDP,,,,
800,,,,,,SEIC,,,,
801,,,,,,CUBE,,,,
802,,,,,,SKX,,,,
803,,,,,,OVV,,,,
804,,,,,,KVYO,,,,
805,,,,,,CNM,,,,
806,,,,,,WTRG,,,,
807,,,,,,ULS,,,,
808,,,,,,GNRC,,,,
809,,,,,,CIEN,,,,
810,,,,,,WWD,,,,
811,,,,,,APG,,,,
812,,,,,,PSO,,,,
813,,,,,,AOS,,,,
814,,,,,,AIT,,,,
815,,,,,,AEG,,,,
816,,,,,,AU,,,,
817,,,,,,SNX,,,,
818,,,,,,CCK,,,,
819,,,,,,RBC,,,,
820,,,,,,DTM,,,,
821,,,,,,PNW,,,,
822,,,,,,PSN,,,,
823,,,,,,DSGX,,,,
824,,,,,,DOCS,,,,
825,,,,,,UWMC,,,,
826,,,,,,EHC,,,,
827,,,,,,HTHT,,,,
828,,,,,,WBS,,,,
829,,,,,,BNT,,,,
830,,,,,,WYNN,,,,
831,,,,,,SBS,,,,
832,,,,,,EXEL,,,,
833,,,,,,CHDN,,,,
834,,,,,,WAL,,,,
835,,,,,,CACI,,,,
836,,,,,,EDU,,,,
837,,,,,,ALSN,,,,
838,,,,,,HLNE,,,,
839,,,,,,WCC,,,,
840,,,,,,LKQ,,,,
841,,,,,,CR,,,,
842,,,,,,BILL,,,,
843,,,,,,WMS,,,,
844,,,,,,MTSI,,,,
845,,,,,,LAD,,,,
846,,,,,,BIRK,,,,
847,,,,,,BRBR,,,,
