Row,sp500,nasdaq,nyse,penny,mutual fund,large cap stocks,mid cap stocks,small cap stocks,micro cap stocks,australian ase
137,CEG,VOD,ECL,APDN,RNPGX,DASH,AXS,VBTX,VBTX,APE
138,CL,SBAC,CP,MDAI,FNPFX,ORLY,ESAB,SAND,SAND,SMR
139,MCK,FWONK,GSK,BYND,RNPEX,TEAM,AZEK,WGO,WGO,TUA
140,FTNT,FWONA,CRH,TANH,FNFPX,MMM,GKOS,CTS,CTS,CMM
141,EMR,BIIB,CVS,RR,ANWFX,TDG,ADC,NEP,NEP,CLW
142,GD,NTRA,RCL,OCGN,RNPHX,EOG,MKSI,GNL,GNL,WGX
143,ORLY,AFRM,WMB,AISP,CNPAX,COF,CE,EVO,EVO,NHF
144,MMM,ILMN,SPG,URG,RNPFX,APD,CVLT,WKC,WKC,RMS
145,TDG,EXE,NOC,EXK,CNPCX,EPD,FRHC,STBA,STBA,RGN
146,EOG,RYAAY,BNS,FATE,CNPFX,ECL,ALV,XHR,XHR,HDN
147,COF,LI,DEO,RLAY,FFPNX,WDAY,CIGI,ADNT,ADNT,SGM
148,APD,BGNE,FDX,EDIT,CNPEX,CP,BRFS,BV,BV,PPT
149,ECL,DOCU,CNQ,NRDY,NPFFX,GSK,MIDD,KOS,KOS,BWP
150,CVS,DKNG,RSG,UROY,RFEBX,CRH,ANF,NAVI,NAVI,EMR
151,RCL,ERIE,CNI,CHGG,CFNCX,CVS,LEGN,NAPA,NAPA,VAU
152,WMB,FOXA,SE,ITRM,CFNEX,RCL,BOKF,MXL,MXL,PXA
153,SPG,NTRS,CARR,WTI,CFNFX,WMB,DLB,HOPE,HOPE,PDN
154,NOC,ZBRA,ET,FGEN,FEEFX,SPG,RHI,KEN,KEN,MAQ
155,FDX,KSPI,DLR,SAN,ANCFX,NOC,WFG,TNC,TNC,GOR
156,RSG,FOX,AJG,NAMI,FINFX,TTD,DJT,ORLA,ORLA,PSI
157,CSX,STLD,MFG,ALLO,RFNFX,BNS,OLED,JBGS,JBGS,NXL
158,ADSK,STX,EQNR,HPP,RFNEX,DEO,CAE,FDP,FDP,JDO
159,CARR,FSLR,OKE,PSEC,RFNHX,FDX,EXLS,WT,WT,ILU
160,DLR,GRAB,BDX,ONDS,RFNCX,CNQ,FRPT,SEI,SEI,RRL
161,AJG,CHKP,HLT,JYD,AFIFX,RSG,ENLC,PLAB,PLAB,IFL
162,CHTR,ULTA,CM,RLMD,RFNAX,CNI,HIMS,TCBK,TCBK,DRR
163,OKE,COO,TFC,SES,FFXFX,SE,MNSO,MMI,MMI,REG
164,BDX,PFG,KMI,IRWD,RFNBX,CSX,GIL,NTCT,NTCT,RDX
165,HLT,TER,SQ,SOAR,FUNFX,ADSK,JAZZ,REVG,REVG,NEC
166,TFC,GEN,TGT,DDD,AFICX,CARR,OS,PZZA,PZZA,CTD
167,KMI,ALAB,SNOW,SVC,CFNAX,ET,WBA,SDGR,SDGR,INA
168,PCAR,Z,FCX,ASPI,RFNGX,DLR,BWA,RLJ,RLJ,MFG
169,TGT,CG,NGG,BNGO,FCTDX,AJG,SPXC,SYRE,SYRE,CQR
170,FCX,SSNC,AFL,TBLA,GVMXX,MFG,AM,BWLP,BWLP,GOZ
171,CPRT,PODD,TRV,ALEC,AEGFX,CHTR,SUN,XMTR,XMTR,WEB
172,AFL,ZG,MET,APPS,CEUAX,EQNR,MOD,GDYN,GDYN,MSB
173,TRV,MANH,NSC,LITM,RERHX,OKE,HII,CMRE,CMRE,EVT
174,ROP,VRSN,GM,BFLY,AEPFX,BDX,CWAN,GRDN,GRDN,CIP
175,MET,TRMB,PSA,AQST,REREX,HLT,ASTS,RCUS,RCUS,WAF
176,NSC,JBHT,BK,ABCL,FUEPX,CM,PARA,SPNS,SPNS,CU6
177,GM,NTNX,BBVA,NXTC,CEUCX,TFC,DINO,LEG,LEG,SPR
178,PSA,ICLR,SLB,AZUL,RERCX,KMI,WEX,VECO,VECO,DHG
179,BK,SOFI,NU,VIRX,REEBX,SQ,SPSC,IMCR,IMCR,NWH
180,SLB,ALGN,FICO,SYRS,RERFX,PCAR,WSC,BCRX,BCRX,BGL
181,FICO,NWS,GWW,GEVO,AEPGX,TGT,JXN,SRCE,SRCE,DBI
182,GWW,MRNA,MFC,MTTR,RERGX,SNOW,XP,OPEN,OPEN,OCL
183,SRE,HOLX,SRE,AMPX,RERBX,FCX,AGCO,DAC,DAC,AIZ
184,URI,WMG,URI,OLPX,CEUEX,CPRT,WTS,DMLP,DMLP,GNC
185,AZO,NWSA,AZO,ARBK,AEPCX,NGG,CHRD,INFN,INFN,SDR
186,JCI,ENTG,JCI,RENB,FEPUX,AFL,MTN,DCOM,DCOM,WPR
187,NXPI,UTHR,ARES,KIND,CEUFX,TRV,TMHC,MCRI,MCRI,NEU
188,AMP,SYM,AMP,REI,RERAX,ROP,QXO,MAG,MAG,IRE
189,VST,DUOL,VST,NUVB,FEUPX,MET,LUMN,MTTR,MTTR,MGH
190,ALL,FTAI,ALL,TSHA,RIDFX,NSC,FAF,VRDN,VRDN,BGA
191,PSX,AZPN,PSX,NAT,AMEFX,NTES,BPOP,KW,KW,BAP
192,AXON,CASY,CVNA,SID,AMECX,GM,BLCO,KNSA,KNSA,TPW
193,CMI,BSY,CMI,FOXO,FFIFX,PSA,FMC,VITL,VITL,DDR
194,ROST,LNT,DHI,SVRA,RIDAX,BK,DDS,SILV,SILV,ARF
195,PAYX,LINE,VRT,OGI,CIMCX,BBVA,AN,DNOW,DNOW,ASK
196,AEP,DLTR,TRP,XERS,CIMAX,SLB,STEP,TILE,TILE,PNV
197,DHI,MORN,MPLX,VXRT,RIDEX,NU,LEVI,ANDE,ANDE,LTR
198,MNST,RPRX,FLUT,GPRO,RIDGX,FICO,RHP,INMD,INMD,ZIM
199,O,VTRS,LNG,CNEY,RIDBX,GWW,CWST,ZUO,ZUO,AOV
200,PWR,SFM,ITUB,EVLV,FIFAX,DDOG,UPST,SVV,SVV,NUF
201,FANG,FFIV,ING,BARK,RIDHX,MFC,FR,KARO,KARO,AX1
202,LULU,FLEX,O,PTN,IFAFX,SRE,JHG,BUSE,BUSE,SLX
203,MPC,MNDY,WCN,CABA,IFACX,URI,CMC,BB,BB,CRN
204,MSCI,AKAM,PWR,LYRA,FAIFX,AZO,MDGL,FSLY,FSLY,SNL
205,HWM,INCY,BCS,NKTX,CIMFX,JCI,FCN,GSBD,GSBD,IPX
206,AIG,EWBC,AEM,UGP,RIDCX,ARES,CSWI,SAFE,SAFE,IPH
207,D,NDSN,MPC,JZXN,RIEBX,NXPI,RH,QCRH,QCRH,BKI
208,COR,GMAB,MSCI,BRFS,CIMEX,AMP,ERJ,WABC,WABC,RPL
209,NDAQ,OKTA,SU,QRTEA,CWGIX,VST,R,SCS,SCS,AUI
210,NEM,EVRG,HWM,KPTI,FWCGX,ALL,OSK,DHT,DHT,MND
211,FAST,ARCC,AIG,VUZI,CWIEX,JD,LCID,UMH,UMH,ADT
212,FIS,GLPI,D,RVPH,CWGCX,PSX,MSA,HDL,HDL,APM
213,TEL,POOL,COR,EEIQ,RWICX,CVNA,HCP,NRIX,NRIX,IMD
214,PRU,CYBR,NEM,SFIX,CWIAX,AXON,BECN,OCUL,OCUL,NCK
215,DFS,SWKS,FIS,INTR,CWIFX,CMI,MTDR,KRNT,KRNT,TAH
216,KMB,MBLY,AMX,REKR,WGIFX,ROST,CHH,CSGS,CSGS,OBM
217,PEG,SAIA,TEL,NAK,RWIAX,PAYX,ALK,HLX,HLX,MAD
218,OXY,SMMT,PRU,EFSH,RWIFX,AEP,CADE,MNR,MNR,MP1
219,LHX,REG,DFS,ICL,CWICX,DHI,AWI,LADR,LADR,DTL
220,KDP,AUR,KMB,AGL,FCWGX,MNST,MOG.B,KRP,KRP,ERA
221,LEN,INSM,PEG,IHRT,RWBEX,VRT,MOG.A,HLIT,HLIT,HLI
222,AME,LAMR,OXY,BLDE,RWIEX,TRP,POST,NTLA,NTLA,CCP
223,CCI,RIVN,E,OPK,CWGFX,MPLX,SATS,UP,UP,LFS
224,EA,MMYT,LHX,TGB,FWGIX,FLUT,ZWS,ARIS,ARIS,ELD
225,KVUE,HST,LEN,OPTN,RWIGX,LNG,OMF,DCBO,DCBO,PRN
226,HES,TXRH,AME,RZLV,RWIHX,ITUB,GGB,NMM,NMM,DYL
227,PCG,NBIX,CCI,ABSI,RWIBX,ING,KEX,VET,VET,ING
228,STZ,PAA,LEN.B,SVM,VTILX,O,SITE,ARHS,ARHS,DUI
229,ODFL,CPB,KVUE,SLDP,VTIIX,WCN,VMI,FSM,FSM,GDG
230,KR,BMRN,TAK,GROY,TFDXX,PWR,STWD,PX,PX,SGF
231,GLW,JKHY,FERG,SRM,VEXMX,FANG,GNTX,RBCAA,RBCAA,SLC
232,TRGP,LOGI,HES,SANA,VSEMX,BCS,PJT,ROOT,ROOT,A4N
233,EW,CHRW,PCG,VCIG,VEXAX,LULU,JOBY,MODG,MODG,HSN
234,GRMN,CRDO,STZ,CCCC,VIEIX,AEM,ADT,ELME,ELME,VUL
235,F,LBRDK,HLN,SNDL,VEMPX,MPC,ESI,TGI,TGI,ABB
236,VLO,LBRDA,ALC,ADAP,VWENX,MSCI,VIPS,FORTY,FORTY,JLG
237,CBRE,RKLB,CPNG,AEMD,VWELX,SU,W,ERO,ERO,GEM
238,DAL,WIX,KR,AKBA,DOXGX,HWM,NUVL,AMPL,AMPL,ASB
239,IR,SRPT,GLW,XFOR,DODGX,AIG,BFAM,ADEA,ADEA,LIC
240,CTVA,ROKU,TRGP,ILLR,VEMRX,D,QTWO,WOOF,WOOF,SIQ
241,BKR,PPC,NWG,VRPX,SWPPX,COR,LLYVK,AFYA,AFYA,BOE
242,VRSK,NICE,EW,LAAC,VEMIX,NDAQ,BYD,AMRC,AMRC,MMS
243,CTSH,LECO,GRMN,LU,VEIEX,NEM,LLYVA,NSSC,NSSC,KAR
244,A,TECH,F,RLX,VEMAX,FAST,CELH,SNDX,SNDX,KLS
245,XEL,PCVX,VLO,LAES,CAIBX,FIS,COTY,ARQT,ARQT,MAF
246,IT,EXAS,CBRE,CATX,RIRFX,AMX,LYFT,DX,DX,HLS
247,OTIS,FUTU,DAL,GGR,RCEEX,TEL,BMI,USPH,USPH,MYR
248,SYY,PCTY,IR,BIVI,FWCBX,PRU,COLD,PLAY,PLAY,CMW
249,LVS,VFS,LYG,NKTR,RIRAX,DFS,STAG,HTZ,HTZ,NAN
250,YUM,AAL,CTVA,INUV,CAIFX,TCOM,SMR,SABR,SABR,BVS
251,EXC,TTEK,VEEV,RDZN,CFIHX,KMB,HRI,CDRE,CDRE,LFG
252,VMC,CART,A,EGY,RIRBX,PEG,MTH,UNFI,UNFI,SSM
253,KHC,COKE,VALE,INTZ,RIREX,OXY,MAT,FOR,FOR,CQE
254,GEHC,TLN,IT,INVZ,CIRAX,E,AMKR,ATSG,ATSG,CAT
255,IQV,ESLT,OTIS,CIG,CIRCX,LHX,GBCI,NVAX,NVAX,VSL
256,ACGL,AAON,HMC,VERI,RIRGX,KDP,CGNX,GB,GB,CKF
257,GIS,CFLT,SYY,CMPS,RIRHX,LEN,HR,JKS,JKS,PL8
258,EXR,GTLB,STLA,BMRA,CIBFX,AME,MTG,LOMA,LOMA,RSG
259,WAB,MEDP,LVS,PBM,RIRCX,CCI,QRVO,CMPO,CMPO,WA1
260,IDXX,SEIC,RBLX,CGBS,CIBCX,EA,ETSY,MDXG,MDXG,UOS
261,MLM,WWD,NET,HOVR,CIRFX,KVUE,ZK,PBI,PBI,OPT
262,RMD,DSGX,YUM,NG,CIREX,TAK,TIMB,OLPX,OLPX,RIC
